Baden-Württemberg, 'translate3d(-100px, -600px, 0px) scale(1.7)'
Bayern, 'translate3d(-270px, -500px, 0px) scale(1.7)'
Brandenburg, 'translate3d(-440px, -140px, 0px) scale(1.7)'
Hessen, 'translate3d(-120px, -380px, 0px) scale(1.7)'
Mecklenburg-Vorpommern, 'translate3d(-370px, 0px, 0px) scale(1.7)'
Niedersachsen, 'translate3d(-110px, -100px, 0px) scale(1.7)'
Nordrhein-Westfalen, 'translate3d(-10px, -300px, 0px) scale(1.7)'
Rheinland-Pfalz, 'translate3d(-10px, -600px, 0px) scale(1.9)'
Saarland, 'translate3d(-250px, -1560px, 0px) scale(3.8)'
Sachsen, 'translate3d(-440px, -350px, 0px) scale(1.7)'
Sachsen-Anhalt, 'translate3d(-320px, -250px, 0px) scale(1.7)'
Schleswig-Holstein, 'translate3d(-170px, 14px, 0px) scale(1.7)'
Thüringen, 'translate3d(-270px, -400px, 0px) scale(1.7)'

